Paziente :
Esame :
Occhio : False
--------------------------------------------------------
Note : 
--------------------------------------------------------
SIM-k : 
K1 = 43,67 D @ 121°
K2 = 52,59 D @ 31°
--------------------------------------------------------
Diametro Corneale = 14
Decentramento Pupillare Orizzontale = 0
Decentramento Pupillare Verticale = -1
Diametro Pupillare Medio = 3
Potere Pupillare Medio = 7,65 D
--------------------------------------------------------
sph -1000 cyl -1000 ax -1000 @ -1000
--------------------------------------------------------
Dato misurato : Elevazioni
N° Anelli : 24
N° Semimeridiani : 256
--------------------------------------------------------
0,161565458431543
0,161688966124246
0,161805524361603
0,161929351624531
0,162074503625109
0,162253398591957
0,162475853610462
0,162748193090755
0,163072285169049
0,163445354435092
0,163859870360828
0,16430413952349
0,164762961740211
0,165219115665214
0,165654849799442
0,16605378386104
0,166403154896456
0,166695352625966
0,166929798130131
0,167113274561937
0,167259566328651
0,167388046635636
0,167520795541064
0,167679739261295
0,167883164204984
0,168143586939815
0,168465527577368
0,168845587137155
0,169273076532177
0,169732460965031
0,17020578636865
0,170657804895359
0,171112758268199
0,171545520997654
0,171956779002135
0,172354009495558
0,172749713382649
0,17315817669816
0,173592225566138
0,17405905644663
0,174557380350083
0,175075704703562
0,175592194818542
0,176076670400856
0,17649388321278
0,176808322614941
0,176989510944407
0,177016791764164
0,176883264604828
0,176597471032357
0,176183312644406
0,175677511923776
0,175124704860728
0,174572064600807
0,174062805013068
0,173262836591082
0,17294008936006
0,172718832913612
0,172589264795366
0,172529166047466
0,172508568546621
0,172495326353104
0,172460607012142
0,172384197136849
0,172559078020774
0,172377392474449
0,172163036523576
0,17193953887587
0,171734174941085
0,171571917172875
0,171470975784933
0,171438294268032
0,171467586650231
0,171539500742467
0,171624107398587
0,171685049937202
0,171304463688026
0,171220432292029
0,171024494754317
0,170710711559396
0,170288516173718
0,169781412014173
0,169224387674184
0,168658943735419
0,168127783071539
0,167669246217704
0,167312915362098
0,167094526184609
0,166981648963669
0,166983646941202
0,167080616280497
0,167227272578297
0,167430109275166
0,167766721012104
0,16795934918828
0,168118938309623
0,168235785167959
0,168307197112907
0,168335505802796
0,16832624863794
0,168284153974073
0,168223722858411
0,168136382176892
0,167993142049082
0,167803288303384
0,167556775708781
0,167245038110935
0,166863569483691
0,16627785265952
0,165781917288385
0,165243930142371
0,164686848188596
0,164138032306521
0,163626576062708
0,163180174378554
0,162822323929854
0,16256976276787
0,162430889335213
0,162405369469827
0,162484408138004
0,162652078030173
0,162887510951033
0,163166749228442
0,163465205614803
0,163759629518136
0,164029334181499
0,16425510798773
0,164421321625707
0,164524203757228
0,164558259748738
0,164521427239056
0,164414892255694
0,164243226331984
0,164014366327362
0,163739635845569
0,163433737522029
0,163114156976228
0,162800207478174
0,162556165346963
0,162321847275248
0,162149266184236
0,162050060617859
0,162030093615582
0,162088976974888
0,162220254187723
0,162411497553292
0,162646294902167
0,162905565093805
0,163169777153336
0,163421371467338
0,163645398733302
0,1638320610548
0,163990882103197
0,164108913914765
0,164188652663624
0,164227727812911
0,164238720989195
0,164227864981694
0,16420001940317
0,164159641478051
0,164110933906229
0,164057523508865
0,164004609516591
0,163958427457559
0,16392702362075
0,163919689021454
0,163946822376416
0,164018330570479
0,164142342733626
0,164324001811952
0,164564092565311
0,16485847020946
0,165050174126329
0,165398851301581
0,16576745753963
0,16616090930821
0,166513450422511
0,166862422252396
0,167172951027175
0,167440690158967
0,167665377570268
0,167849987763256
0,167999146699528
0,168117769951967
0,168209314811042
0,168275101469943
0,168313787666384
0,168321566078455
0,168293174920389
0,168223451275726
0,168107434905617
0,167943296171592
0,167732115095692
0,167478272928589
0,167189499051114
0,166875865970387
0,166548941166366
0,166220255284768
0,165900475803605
0,165598310963751
0,16532000559111
0,165069251353966
0,16484746299169
0,164654175194629
0,164487775483316
0,164345572222088
0,164224164321113
0,164119257746042
0,164025531960518
0,163935979453189
0,163841852380728
0,163732710904091
0,163596890242874
0,163422670160293
0,163199639538411
0,162920636922398
0,162583428093715
0,162192371310663
0,161758931643155
0,161301853161794
0,160845549364874
0,16041826677977
0,160048582982841
0,159762065227748
0,159577964412487
0,159506015222421
0,159544435209396
0,15967963478996
0,159886860073938
0,160132663753414
0,160378788525192
0,160586488973659
0,160721330674707
0,160757690603957
0,160681973335982
0,16049430548934
0,160208458276779
0,159849916800016
0,159453358005482
0,159056981100206
0,158698931603084
0,158412469173043
0,158222718972264
0,158144423938969
0,15818093718448
0,158325017326468
0,158560593621555
0,158865335981147
0,159213744593917
0,159393251782039
0,159744429622403
0,160467172161089
0,160770512749032
0,161030447585988
0,161246078714041
0,161421624520433
0,347939051709054
0,349046893692567
0,350160278056491
0,351238188721187
0,352248756792589
0,353174124228301
0,354014316644861
0,354786813192588
0,355524281757145
0,35626930943042
0,357066798605399
0,357956675749788
0,358966375690936
0,360105247404404
0,361362640603565
0,362707716378946
0,364094391330607
0,36546689612018
0,3667685808713
0,367949702685816
0,368975012118931
0,369828208672245
0,37051436831351
0,371057949944076
0,371498740125724
0,371885581594396
0,372268521742145
0,37269213992716
0,373189465387654
0,373778935240127
0,37446306331107
0,375223889871932
0,376054823776847
0,376923338123389
0,377804727401169
0,378679543119974
0,37953646188333
0,38037338952699
0,381196495112397
0,382017502724019
0,382849369264695
0,383703111496985
0,384582917958742
0,385485088397076
0,386396082450538
0,387294150320747
0,388152197216239
0,388941303659605
0,389635316473792
0,390214328790436
0,390668040084308
0,390996497445046
0,391210417772821
0,391329255187558
0,391377726066567
0,390362878662691
0,390377980627817
0,390389834767185
0,390410784594776
0,390445277112153
0,39049073910005
0,390540547010899
0,390585945328716
0,39062071220715
0,39148312509337
0,39147273555636
0,391459805068811
0,391461474910794
0,39149978303313
0,391598312701315
0,391779162276075
0,392059125121495
0,392447256668603
0,392943644584594
0,393537886793589
0,394211415860578
0,393868069868102
0,394641681074652
0,395412972560903
0,396155836543485
0,396847674990546
0,397470208852857
0,3980115919363
0,398466155624335
0,398834993503483
0,399124445341735
0,399344870879226
0,399515672392792
0,399634926709652
0,399719489816161
0,399775322313922
0,399796866203354
0,399795307600253
0,400106575180329
0,400011714392502
0,399862145734806
0,399650483289078
0,399373641266938
0,399033525893368
0,398639909963369
0,398206707769128
0,397786935773489
0,397339716728286
0,396908927446869
0,396519501069312
0,396183347218621
0,395903738404878
0,395674553071304
0,395108762205758
0,394958852918196
0,394790380736831
0,394572122862817
0,394276074701845
0,393881968683763
0,393381195320508
0,392777729682983
0,392088743837136
0,391341578854174
0,390570173402708
0,389809658840831
0,389091596652279
0,388438732993815
0,387862539423185
0,387361200957763
0,386920350937738
0,386515640784941
0,386110021908465
0,385664064683783
0,385160656575556
0,384574627999433
0,383889410677172
0,383097682199887
0,382201889646928
0,381212175230742
0,380144673764276
0,379018828972319
0,37785479150679
0,376671999892702
0,375599565829376
0,374451589691935
0,373330278254356
0,372242636302819
0,371192652278922
0,370180901972748
0,369205504157747
0,368261614875604
0,367342260416583
0,366438294649992
0,365539610068743
0,364636773071614
0,363720632579423
0,362787372330367
0,36187480655752
0,360960349160709
0,360058075915164
0,359171542076195
0,358343530129112
0,357603510985952
0,356977149330204
