Paziente :
Esame :
Occhio : True
--------------------------------------------------------
Note : 
--------------------------------------------------------
SIM-k : 
K1 = 44,08 D @ 51°
K2 = 46,26 D @ 141°
--------------------------------------------------------
Diametro Corneale = 12
Decentramento Pupillare Orizzontale = 0
Decentramento Pupillare Verticale = 0
Diametro Pupillare Medio = 5
Potere Pupillare Medio = 7,51 D
--------------------------------------------------------
sph -1000 cyl -1000 ax -1000 @ -1000
--------------------------------------------------------
Dato misurato : Elevazioni
N° Anelli : 24
N° Semimeridiani : 256
--------------------------------------------------------
0,201696998224028
0,201730329411991
0,201663916451371
0,201507379820838
0,201277036868224
0,200995249303315
0,200688750629097
0,200387039977857
0,200120037555692
0,199916287366868
0,199800672071876
0,199792501912112
0,199904300305086
0,200140772657345
0,200498502097563
0,200966150621816
0,201525321024747
0,202151958766158
0,202818050532801
0,20349371132034
0,204149742613494
0,204759467594815
0,205301198237497
0,205759731092058
0,206127587052041
0,206395198041335
0,206591365441411
0,20672243907264
0,206809850119013
0,206877851099944
0,206943380780517
0,207047825436628
0,207203070469244
0,207423982741811
0,207718211078069
0,20808538865989
0,208517162672293
0,208982397016872
0,209490185114605
0,209999220894178
0,210480952111445
0,210906546262541
0,21124932632516
0,211486505000132
0,211601118412442
0,211582833854879
0,211432045127042
0,211150339884128
0,210748836346758
0,21024330952275
0,209653372759989
0,209001253762161
0,208309024411126
0,207597228675477
0,206883704834985
0,206182672792558
0,205504214280141
0,204855060595109
0,204237842528187
0,203653505921798
0,203099442966246
0,202573285920501
0,202073010880363
0,201597306502736
0,201146305045042
0,200722175285942
0,200326679807587
0,199962846176042
0,199633531003451
0,199340574790268
0,199083915536991
0,198860990595005
0,198666030525361
0,198508378976439
0,19834402684529
0,198170718243663
0,197973688981658
0,197736205885015
0,197442222451275
0,1970778616647
0,196644356776731
0,196112960894512
0,195493050095505
0,194788667507315
0,194009063590932
0,193167948966702
0,192282880024279
0,191386566969465
0,190485584728558
0,189590763324581
0,188731711702042
0,187924573448436
0,187181642264677
0,186511482540568
0,18591849198728
0,185403127064992
0,184962513327774
0,184590909412122
0,184280649879862
0,184032362392228
0,18382629367073
0,183646178540115
0,183492081377256
0,183357288398522
0,18323689299905
0,183127776415636
0,183028784094051
0,182940318541423
0,182864554260579
0,182804872351455
0,182765553463144
0,182751812929208
0,182769321277843
0,182824088485927
0,182922140479867
0,1830695403391
0,183271789081856
0,183533632678438
0,183858660554146
0,184248684248209
0,184703353270423
0,185219543200114
0,185791008739616
0,186408393709102
0,187059001399211
0,187727331684525
0,188395862012306
0,189045953820022
0,189659139616862
0,190218687657297
0,190711115681469
0,191127501012237
0,191464684417347
0,19172619774254
0,191921990447758
0,192068603608396
0,192187730398963
0,192305231478962
0,192448942451746
0,192646617495603
0,192923633151137
0,193301020899636
0,19379338088664
0,194407462747139
0,195141357902467
0,195984123314132
0,196916166635662
0,197910405743824
0,198934160305722
0,199951199123786
0,20092459621973
0,201819430135311
0,202605696417657
0,203259645147802
0,203766969069432
0,204122770708545
0,2043318669693
0,204408057667117
0,204372661775839
0,204252507763505
0,204077043647304
0,203876129056678
0,203677357845341
0,203503750778482
0,203372164875992
0,203292266796699
0,203266086557827
0,203288429326742
0,203348618469919
0,20343081004996
0,203516943817221
0,203588270397199
0,203627776079525
0,203621291628601
0,203559118989757
0,203436544910993
0,20325384912445
0,203015804749835
0,202730870533338
0,202409650005276
0,202063515253929
0,201703163362554
0,20133752323242
0,200972518045491
0,200610883331094
0,200252043786936
0,199892724825146
0,199527457494207
0,199150288258583
0,198755599082263
0,198339791132209
0,197902349542155
0,197446374250728
0,196979105094644
0,196511760663587
0,196058671796596
0,195636452432975
0,195262244050699
0,194952357601931
0,194720535620036
0,194576192595327
0,194523926511314
0,194562043088595
0,194682605345432
0,194871717160903
0,195110221866654
0,195375142239208
0,195641254094739
0,195883319572413
0,196076427652675
0,196201527799372
0,196246091199912
0,196200303002654
0,196064385838599
0,195840236246691
0,195541640789728
0,195187275343469
0,194806739792946
0,194402670469036
0,194011936607269
0,193658247453923
0,193362852232099
0,1931426774949
0,19300950043427
0,192969325856025
0,193021914193752
0,193161283493663
0,193376447971263
0,19365215593421
0,193970707982107
0,194313194179148
0,194660910223477
0,194997204561275
0,195308253117241
0,195584299918056
0,195820092623668
0,196015275902924
0,19617409230263
0,196304952995995
0,196427069996716
0,196539398742696
0,196664098304223
0,196815547454698
0,197006361521702
0,19725683833635
0,197550973947688
0,197900552201507
0,198301578972965
0,198744973561227
0,199216918475491
0,199699958060094
0,200173872303942
0,200617049912964
0,201008352785413
0,201328397141845
0,20156152961806
0,389194815771421
0,389860426005657
0,3903591250305
0,390715082186262
0,390967233696789
0,391165196450413
0,391364832027792
0,391623300165808
0,391993628638842
0,392520004762335
0,393234246231375
0,394152594221384
0,395274758914966
0,396584097615222
0,398049372826131
0,399627631935829
0,401268220140954
0,402917725681047
0,40452435172814
0,406042775662876
0,407437982482275
0,408687589999157
0,40978386212279
0,41073323342726
0,411555193932561
0,412250326622238
0,412911896883299
0,41355225955348
0,414209983011249
0,414916184369462
0,415669329855288
0,416530049198115
0,417473421918864
0,418485760772922
0,419541187238337
0,420603641646165
0,421630834860154
0,422533673464185
0,423356060781038
0,424017414504424
0,424488804538527
0,424752866000561
0,424805470950266
0,424655336304146
0,424323473137028
0,42384059789781
0,423253397844729
0,422595209925608
0,421906946039855
0,421224593065727
0,420577610900393
0,419988920076608
0,419470925034937
0,41902577425137
0,418646672692822
0,418318998812639
0,418022199870867
0,417734776991507
0,417433533958257
0,417100920182481
0,416719041069545
0,416279826150335
0,415782801226825
0,415234986374409
0,414649616767777
0,414046568550521
0,413443475202422
0,412859198402217
0,412309179022298
0,411803687887759
0,411345860582572
0,410930791758492
0,410545590285037
0,410223566285499
