Paziente :
Esame :
Occhio : True
--------------------------------------------------------
Note : 
--------------------------------------------------------
SIM-k : 
K1 = 41,46 D @ 177°
K2 = 41,98 D @ 87°
--------------------------------------------------------
Diametro Corneale = 14
Decentramento Pupillare Orizzontale = 0
Decentramento Pupillare Verticale = 0
Diametro Pupillare Medio = 4
Potere Pupillare Medio = 8,09 D
--------------------------------------------------------
sph -1000 cyl -1000 ax -1000 @ -1000
--------------------------------------------------------
Dato misurato : Elevazioni
N° Anelli : 24
N° Semimeridiani : 256
--------------------------------------------------------
0,202235315638956
0,201966482424287
0,201694560486174
0,201452742762739
0,201273284108447
0,201183880145374
0,201204714439347
0,201345984112666
0,201606546190426
0,201973576561729
0,202423720252715
0,202925254758451
0,20344134449627
0,203933945506679
0,204367788770945
0,204714365875237
0,204955282132726
0,205084123768143
0,205107971461771
0,205046184403673
0,204928214504439
0,204790001739327
0,204669324162193
0,204601248977226
0,20461348633787
0,20472371286863
0,204937527955204
0,205248732650628
0,205640932735657
0,20609076868597
0,206576118024143
0,207062639828483
0,207532849414201
0,207972682304801
0,208377009970987
0,208749543663451
0,209101407130048
0,209450713336756
0,209807791192758
0,210188431203476
0,210594888519268
0,211032685019227
0,211485745865682
0,211933371927923
0,212348698141801
0,212702414780848
0,212967040653903
0,213121132995993
0,213152919754614
0,213052671632064
0,212852849400787
0,212569436269802
0,212236246891222
0,211881908224718
0,211564779770016
0,211308624962427
0,211137592250243
0,211064070255003
0,21108769618017
0,211196304978317
0,211368663158074
0,211578046623011
0,211796794586036
0,212000397601628
0,212170952864619
0,212299194407648
0,212384909367856
0,212435547371181
0,212463856221341
0,212483899654261
0,212507574808019
0,212541188795554
0,212583260800001
0,212623855918781
0,212645786872144
0,212626727272266
0,212543329237154
0,212375022002614
0,212108163430474
0,211753251564867
0,211289924362601
0,210752246682897
0,210170237391563
0,209595615605384
0,209036556347506
0,208544462840391
0,208148911641831
0,207869526485508
0,207713674540882
0,207677054220622
0,207744440273983
0,207893109911383
0,208095971718177
0,208326128823786
0,208559749809154
0,208778683518669
0,208971655866305
0,209136932461802
0,209267993107383
0,209378166731983
0,209454568260864
0,209504019212957
0,209522074779637
0,209499578723954
0,209424141284059
0,209281987124428
0,209055148175628
0,208745902250425
0,208348846153032
0,207872208621121
0,207333171734134
0,206757005578116
0,206174750927662
0,205619777967448
0,205124027312558
0,204714526351544
0,204410415518399
0,204220524051164
0,204142754481152
0,204165894768268
0,204268909541809
0,204425335904725
0,20460570122274
0,204780831514717
0,204924869126865
0,205017312499538
0,205044781523012
0,205000945115503
0,204886983622698
0,204710015264302
0,204481713550409
0,204216923163917
0,20393168871689
0,203641758947205
0,20336100869248
0,203100502423681
0,20286774617283
0,20266602115781
0,202494311171017
0,202347653033117
0,202217653270887
0,202094219137966
0,201966472927075
0,201825042984272
0,20166378339683
0,201480818283304
0,201280054762363
0,20107078411503
0,200867011661843
0,200685789616366
0,200544671528983
0,200459232516775
0,200440244667602
0,200491490049775
0,200608723108753
0,200779040422947
0,200982477700757
0,201193717255872
0,201385857242153
0,201533642140459
0,20161716593686
0,201624782778721
0,201554797082008
0,201415735490491
0,201225242076409
0,20100754405274
0,200789992169142
0,200599320780381
0,200457899657048
0,200381051664153
0,200375509321633
0,200439077145882
0,200561871089335
0,200728860130259
0,200922627423478
0,201126652424093
0,201327502637663
0,201517338780375
0,201693929701647
0,201860609540752
0,202024408749363
0,202194072113632
0,202377497612966
0,202579577158536
0,202800434286643
0,20303483885366
0,2032724772491
0,203498922121979
0,2036976671693
0,20385262220126
0,203949856990464
0,203979929676305
0,203938893375908
0,203828618823679
0,203656474086238
0,20343416050358
0,203176344742131
0,202898816644747
0,202616805389142
0,202343947079247
0,20209132881659
0,201867179191144
0,201677144760055
0,201524460454223
0,201410759735479
0,201336147620663
0,201299663084288
0,201299093486725
0,20133122982148
0,201390296383056
0,201470578845288
0,201561036691175
0,20164599790671
0,201726525999944
0,201784835257509
0,201810809008459
0,201796944962597
0,20173972100141
0,201632522487537
0,201496201975024
0,20133442745034
0,201161551226936
0,20099385999101
0,200847548815222
0,200737009599597
0,200672491408901
0,20065857146855
0,20069383629405
0,200770570984371
0,200875855104728
0,200993448304549
0,20110581025809
0,201196413638326
0,201249543147513
0,20127115888113
0,201238646777127
0,201165723237642
0,201063337205487
0,200947508533439
0,200837396350219
