Paziente :
Esame :
Occhio : False
--------------------------------------------------------
Note : 
--------------------------------------------------------
SIM-k : 
K1 = 43,41 D @ 105°
K2 = 44,46 D @ 15°
--------------------------------------------------------
Diametro Corneale = 14
Decentramento Pupillare Orizzontale = 0
Decentramento Pupillare Verticale = 0
Diametro Pupillare Medio = 3
Potere Pupillare Medio = 7,69 D
--------------------------------------------------------
sph -1000 cyl -1000 ax -1000 @ -1000
--------------------------------------------------------
Dato misurato : Elevazioni
N° Anelli : 24
N° Semimeridiani : 256
--------------------------------------------------------
0,191429673619343
0,191306440612358
0,191250594313906
0,191278710921272
0,191400152178097
0,19161565108652
0,19191679891193
0,192296087901426
0,192710753281014
0,193141201820738
0,19355642228387
0,193926548329764
0,194226342963906
0,19443784556311
0,194552376634043
0,194571141481934
0,194506272821268
0,194376878073503
0,194209293804623
0,194033398929394
0,193879594024387
0,193775881029232
0,19373521114489
0,193782076584524
0,193964377350193
0,19421061211108
0,194535770989832
0,194937020347576
0,195379200866378
0,19585403142036
0,196346932933414
0,196853817337626
0,197361251715959
0,197881355390637
0,198407759608186
0,19895443099698
0,199529599291984
0,20013837798714
0,200802821738377
0,201466937290295
0,202155386050274
0,202846916162912
0,203521668748324
0,204158775221068
0,204739456420607
0,205248272746628
0,205675975217841
0,206020247006071
0,206284692720856
0,206479375076541
0,206618327477607
0,206717463650433
0,206792158996851
0,20685620209386
0,206918508125413
0,206984048752131
0,207052691468881
0,207120748186937
0,207182645940662
0,207200769498148
0,207233115962369
0,207258010811461
0,207277256049644
0,207302098123651
0,207347006023578
0,207427086883402
0,207555285169048
0,207739420527157
0,207980121046451
0,208268968440976
0,20858866686035
0,2089137836736
0,209213295801028
0,209459730353085
0,209609692374626
0,20964298584957
0,209543016711728
0,209304317753867
0,208933576321417
0,20844876312702
0,207876337451857
0,207249430167033
0,206602672841648
0,205969400166466
0,205378326629674
0,204846955294062
0,204399216019439
0,20403544116403
0,203744339673767
0,20353870255431
0,203393305372865
0,203297785310165
0,203238064846495
0,203200650584236
0,203172845385049
0,203142578418095
0,20309814309253
0,203027331840325
0,202916953538304
0,202753266299827
0,202522512626603
0,202212421241837
0,201814018619839
0,201323394672432
0,200736718277342
0,200078418545283
0,199360278824633
0,198607160691639
0,197832040310807
0,197097384015027
0,196415382044131
0,195808457074617
0,195291376580414
0,19486970512358
0,194539731782233
0,194290274152592
0,194104687742783
0,193963849612181
0,193849580688285
0,193747127337702
0,193628580560719
0,193528396242072
0,193429952229046
0,193339129650658
0,193262892576675
0,193206378131538
0,193170449585126
0,193149692881872
0,193132732510032
0,193102989747409
0,193041516660554
0,192930499076804
0,192757082866565
0,192516804407132
0,19221572631889
0,191870248367531
0,191517856581611
0,191169625487018
0,190870724660883
0,190652728939946
0,190539903312283
0,19054601044775
0,190672265484422
0,19090757364448
0,191230619159412
0,191612769662802
0,192022774668681
0,192430833544839
0,192812492503926
0,193141241014863
0,193429232541469
0,193667383314865
0,193861561278851
0,194020034860154
0,194149874375846
0,194254120352521
0,194330486090245
0,194366287585229
0,194359623695878
0,194294188368381
0,194161368760414
0,193959377506277
0,193696070400636
0,193389875108303
0,19306932663664
0,192770144673748
0,192531248356477
0,192389496169401
0,192374624096339
0,1925048628585
0,192783926340464
0,193202932410436
0,193730338038032
0,194331519434365
0,194965406045048
0,195589487566985
0,196151124209272
0,19662720551192
0,196997417965771
0,197257519251066
0,197415342761948
0,197489134530407
0,197503898982448
0,197487310923349
0,197465237966953
0,197458905199043
0,197482616409345
0,197542631152974
0,197637573909854
0,197759837037419
0,197896993259666
0,198034093973777
0,198155924875074
0,198248409970646
0,198300244711237
0,198303574259011
0,198254576603309
0,198153469713397
0,198004357484011
0,197815104068249
0,197597047664285
0,19736452181957
0,197134516347094
0,196925562488279
0,196756814508482
0,196645560439368
0,196605644298286
0,196644656199017
0,196762320928032
0,196948558235807
0,197183542022939
0,197439444339711
0,197680457347555
0,197868880225404
0,197968230301188
0,197948421045435
0,197789762032109
0,197486789048485
0,197049523366201
0,196503478202954
0,195886993874668
0,195247382465079
0,194634934359946
0,194097065281637
0,193672761010207
0,193387545505951
0,193250409973077
0,193253325300374
0,193372057068841
0,193569867476725
0,193802184164555
0,194022835445775
0,19418959566927
0,194269896837075
0,194244524667459
0,194109414821491
0,193875503068631
0,193566386264026
0,193214502798466
0,192855933762268
0,192525661457128
0,192252649910449
0,192056369062104
0,191945006062329
0,191914762137218
0,191951243683204
0,192032188683184
0,192130981611954
0,192220469099039
0,192277132020107
0,192284019468489
0,192232805627409
0,192124731005823
0,191970154766793
0,191786973240963
0,191598239564404
0,441022364711234
0,440243217499573
0,439505607170716
0,438842335281454
0,438276372222046
0,437819727354372
0,437473278991621
0,437251824443714
0,437091435555031
0,436995627011802
0,436942392437116
0,436910946966954
0,436884001908064
0,436848329602479
0,436795269473072
0,436718419067357
0,436616309369535
0,436484016507173
0,436317909327554
0,436113880884264
0,435868009436326
0,435577444758363
0,435217877096145
0,434817705821065
0,434493823245586
0,434083582961177
0,433672436461507
0,433318268568733
0,433005110614854
0,432784434051744
0,432680507685066
0,432724659173478
0,43290001495249
0,433229205105255
0,433663432710042
0,434188588837709
0,434766029363012
0,435349822237929
0,435947940894827
0,436384431565956
0,436717295240769
0,436912013083871
0,436962139549033
0,43687744659406
0,436684001572857
0,436417204898011
0,43611972832124
0,435835604847106
0,435602276044991
0,435449600259706
0,435395120709453
0,435441912605794
0,435580271798514
0,435791646830399
0,436048260817259
0,436321062985298
0,43658264256405
0,436810600257608
0,436991052731338
0,437036330500924
0,437108479222536
0,437161337545999
0,437200837716847
0,437247526642461
0,43731962082661
0,437430763564663
0,437587354010083
0,437788125350374
0,438025117961213
0,438285409191308
0,438553731826681
0,438815086473306
0,439057260736303
0,439287793124135
0,439473600753169
0,439632475084509
0,43977100842955
0,439897480522671
0,440019704480739
0,440142797368888
0,440265973601318
0,440386113332143
0,440494076361455
0,440578577800123
0,440628324686665
0,440623528784641
0,440584833109192
0,440499346779672
0,440350082403885
0,440200503481643
0,44003234146264
0,439871425932797
0,439734769962651
0,43963583155272
0,439582729727103
0,439576897548072
0,439613139769371
0,439680400057574
0,439763869032019
0,439847073760433
0,439914772996852
0,43995534963537
0,439962221136587
0,43993482767313
0,439860767457461
0,439784051591509
0,4396992353434
0,439617769719712
0,43950748178783
0,439455203476898
0,439421056769519
0,439400589124367
0,439386252708223
0,439369014589309
0,439340710929861
0,43929584313772
0,439232968508779
0,439154788557786
0,439067653943028
0,4389803312896
0,438854765660705
0,438794008600439
0,43875389256504
0,438733127114626
0,438724698196283
0,438716786386464
0,438693513218534
0,438637704623269
0,438533400915281
0,438368667905492
0,438138290278291
0,437844902207808
0,437499903317265
0,437122393702706
0,436738010770241
0,436373596963653
0,436084347521138
0,435839905312473
0,435682656853462
0,435618524854325
0,435642888954472
0,435740854117539
0,43588910409752
0,436058829189526
0,436219601572413
0,436343388105659
0,436407731195243
0,436398668939706
