Paziente :
Esame :
Occhio : False
--------------------------------------------------------
Note : 
--------------------------------------------------------
SIM-k : 
K1 = 40,94 D @ 11°
K2 = 44,73 D @ 101°
--------------------------------------------------------
Diametro Corneale = 13
Decentramento Pupillare Orizzontale = 0
Decentramento Pupillare Verticale = 0
Diametro Pupillare Medio = 4
Potere Pupillare Medio = 7,87 D
--------------------------------------------------------
sph -1000 cyl -1000 ax -1000 @ -1000
--------------------------------------------------------
Dato misurato : Elevazioni
N° Anelli : 24
N° Semimeridiani : 256
--------------------------------------------------------
0,211646348124444
0,211394479372897
0,211096506386828
0,210813744140396
0,210604347538295
0,210516294113448
0,210581892540501
0,210814302869534
0,211205607284561
0,211728037238783
0,212337419041473
0,212978353923673
0,213591157791072
0,214119437360558
0,214516541654591
0,214751651892826
0,214813171095217
0,214709553495897
0,214467904133506
0,214129463493686
0,213743601016596
0,213360757364633
0,213025544373763
0,212770941879624
0,212613953931356
0,212564479424124
0,212587382845557
0,212664005147208
0,212764557513524
0,212841924773568
0,212885973841847
0,21286495351589
0,212759540170392
0,2125945527108
0,212392826356237
0,212186661643302
0,212010528552116
0,211895460447051
0,211863771590185
0,211934767755622
0,21208193223079
0,212293368547653
0,212534693157553
0,212763748982202
0,212937014735302
0,213015743724453
0,212971633150953
0,212790572283664
0,212473914675884
0,212040478905437
0,211519760441515
0,21094993398921
0,210370900937956
0,209819418055562
0,209324087422105
0,208902151035616
0,208560773567144
0,208289150761624
0,208070202086197
0,20788199679764
0,207702393402869
0,207514186867566
0,207308196515302
0,207085772456425
0,206858581926734
0,206646679339219
0,206474781113225
0,206367362494721
0,206343934393309
0,206414117000415
0,206574950760428
0,206809349753036
0,207087175539656
0,207368267705976
0,207607784954004
0,20776164277561
0,2077934786519
0,207679780505443
0,207413824636721
0,207007240553068
0,206488904060015
0,205900940701348
0,205293947222039
0,204718905537052
0,204227623813566
0,203853626102448
0,203620282942931
0,203535434719741
0,203591883251436
0,203770433084556
0,204043577135734
0,204383828913225
0,204761121618416
0,205154247079895
0,205550985236944
0,205949079453073
0,20635468820212
0,206779161161744
0,207234164689822
0,207727403686218
0,208258470800955
0,208816207303212
0,209354716758957
0,209879812002992
0,21035890358423
0,210742215380008
0,211001733168897
0,211121202207799
0,211099872129479
0,210953967573796
0,210714927208405
0,210384904248889
0,210096682141593
0,209855922578862
0,20970408041352
0,209670573681023
0,209768730640106
0,209994740651657
0,210329100142403
0,210739492069035
0,211185721215003
0,211625683001352
0,212020338079739
0,21233884132136
0,212561505661356
0,212681123299861
0,212702359519694
0,212639260529634
0,212512150072021
0,212343700510209
0,212155264737578
0,211964138499271
0,2117818077113
0,21161341891028
0,211458357195293
0,211311736012304
0,211166113073714
0,21101292259927
0,210844083913235
0,210652556890945
0,210433063286377
0,210182629997242
0,209923341100051
0,209612710727905
0,209276618330461
0,208922498574506
0,208561266425859
0,20820671504313
0,207874899222821
0,207582638107383
0,207345758826158
0,20717657103573
0,207081445026083
0,207059022675723
0,207098612973702
0,207179999461399
0,207274870126869
0,207349564028622
0,207368868776526
0,207301039869938
0,207125583082144
0,206827818519388
0,20641042793069
0,205887347599809
0,20529304584193
0,204666839441128
0,204051423934374
0,203486254275714
0,2030021419047
0,202616490002825
0,202331066131961
0,202126907741592
0,201989231481266
0,201875385155831
0,201754014832579
0,201588070938646
0,201369028189355
0,201094659584708
0,20078614468296
0,200465636201995
0,200170604389476
0,199940992309327
0,199811930042979
0,19980683591898
0,1999319025332
0,200174167774947
0,200501483246669
0,200866337261569
0,201208249280736
0,201475586097836
0,201615073019878
0,20159052992201
0,201385543231741
0,201005607977682
0,200477267949282
0,199843660814664
0,199158437374921
0,198477818728907
0,197853292026403
0,197325580779681
0,196920649148135
0,196647144435274
0,196499238214205
0,19645824997623
0,196498130962734
0,196590141719637
0,196707976828237
0,196831231881014
0,196947800957833
0,197053613859865
0,197151583633987
0,197248539163307
0,197352071697153
0,19746737749421
0,197595199787357
0,197730490142008
0,197863209980941
0,197980339370226
0,198068497308859
0,198117643594591
0,198123728725645
0,198091269508412
0,198033403407935
0,1979711191675
0,197930833667343
0,19794064377039
0,198025868787021
0,198205558813766
0,198489071840728
0,198873946998945
0,199346138549326
0,199881356547904
0,200447992216511
0,201011717665272
0,201540352852661
0,202008472804964
0,202401739928486
0,202719199721204
0,202974018163744
0,203191704939315
0,203406978783902
0,203658453505376
0,203983372035148
0,204412149277255
0,204963179554192
0,205639732331775
0,206428672954999
0,207300748799611
0,208213362522174
0,20911519883587
0,209951730786949
0,210671629825136
0,211233214170341
0,211609722081432
0,211792960165007
0,211794804040035
0,473541842351352
0,473977333646608
0,474243730389981
0,474366234985363
0,474385483572439
0,474351885976318
0,474317884237272
0,474329339246857
0,474416902534363
0,474590258679635
0,474834722969793
0,475111859727352
0,475364433153038
0,475524272642864
0,475521620656333
0,475296042431583
0,474805692513398
0,474033454660079
0,472990322377008
0,471714515807251
0,470266924573743
0,468722769149614
0,467162855277927
0,465662555049187
0,464282228394785
0,463085307650487
0,462036334846972
0,461146924440517
0,460396129811799
0,459704707018208
0,459065653440741
0,458390931147444
0,457597588869459
0,456691803130999
0,455660079696714
